project_key,project_name,project_description,project_start_date,project_end_date,project_progress,project_parent,originating_department
d47e5ee5-c7e3-49ae-9bf5-d2b61b756a05,HVT Combat Arena,"HVT Combat Arena

Final deliverable:
Operational Drone Facility",3/7/2026,7/24/2027,0,,PlanExe
51767f96-0519-4515-8733-34f09159533f,Regulatory and Legal Compliance,,3/7/2026,10/4/2026,0,d47e5ee5-c7e3-49ae-9bf5-d2b61b756a05,PlanExe
47832f6a-9bf8-45a2-8052-2505cccbd9d6,Secure specialty liability insurance for autonomous drone operations,,3/7/2026,5/6/2026,0,51767f96-0519-4515-8733-34f09159533f,PlanExe
a1baf03f-7f51-42b1-90cf-5afba73dad74,Draft comprehensive safety dossier,"Draft comprehensive safety dossier

Description:
Compile technical specifications, risk mitigation strategies, and operational protocols into a formal document to present to potential insurance underwriters.

Resources needed:
• Project Manager
• Technical Lead
• Safety Consultant",3/7/2026,3/27/2026,0,47832f6a-9bf8-45a2-8052-2505cccbd9d6,PlanExe
e85604c6-84e9-4bda-9167-3ca2484e1dfd,Identify and contact specialty brokers,"Identify and contact specialty brokers

Description:
Research and reach out to aviation insurance brokers specializing in autonomous systems and recreational liability to request quotes.

Resources needed:
• Project Manager
• Risk Management Liaison",3/27/2026,4/16/2026,0,a1baf03f-7f51-42b1-90cf-5afba73dad74,PlanExe
1a03e247-c548-41c6-83ae-f6ce8cbca7fc,Review and negotiate policy terms,"Review and negotiate policy terms

Description:
Analyze quotes for coverage limits and exclusion clauses, consulting with legal counsel to ensure the policy adequately covers autonomous drone-human interaction.

Resources needed:
• Project Manager
• Aviation Liability Attorney",4/16/2026,5/6/2026,0,47832f6a-9bf8-45a2-8052-2505cccbd9d6,PlanExe
cf6920c1-9604-4dfb-805d-4fc06d2678da,Submit operational safety case to the local FSDO,,5/6/2026,7/20/2026,0,47832f6a-9bf8-45a2-8052-2505cccbd9d6,PlanExe
b8b048b8-9b3c-49de-8f6d-8de13a29c636,Draft comprehensive operational safety case,"Draft comprehensive operational safety case

Description:
Compile technical specifications, flight parameters, and risk mitigation strategies into a formal document for FSDO review.

Resources needed:
• Aviation Safety Consultant
• Project Manager
• Technical Lead",5/6/2026,5/31/2026,0,cf6920c1-9604-4dfb-805d-4fc06d2678da,PlanExe
2ac3855e-fd4a-4059-9745-04224558e82f,Conduct third-party safety audit,"Conduct third-party safety audit

Description:
Engage an external auditor to verify that all documentation and proposed safety protocols meet FAA and FSDO standards.

Resources needed:
• Third-party Aviation Safety Consultant
• Project Manager",5/31/2026,6/25/2026,0,b8b048b8-9b3c-49de-8f6d-8de13a29c636,PlanExe
fbc512cc-bbca-4d24-ba08-b54a186f70c5,Submit and present to FSDO,"Submit and present to FSDO

Description:
Formally file the safety case and attend the pre-application meeting to address regulatory inquiries and secure preliminary approval.

Resources needed:
• Aviation Regulatory Officer
• Project Manager
• Legal Counsel",6/25/2026,7/20/2026,0,cf6920c1-9604-4dfb-805d-4fc06d2678da,PlanExe
06791550-12f2-4336-9aba-7f44ef2539e3,Obtain local zoning and land-use permits for recreational facility,,7/20/2026,10/4/2026,0,51767f96-0519-4515-8733-34f09159533f,PlanExe
257433de-c93c-4ae4-ad14-0296cd86daf8,Consult local land-use attorney,"Consult local land-use attorney

Description:
Engage a specialized land-use attorney to conduct a preliminary audit of zoning codes and identify potential regulatory hurdles for a recreational drone facility.

Resources needed:
• Project Manager
• Land-use Attorney",7/20/2026,8/8/2026,0,06791550-12f2-4336-9aba-7f44ef2539e3,PlanExe
ab34e5e2-38d2-45fc-9383-24d916dd7f09,Prepare zoning and permit applications,"Prepare zoning and permit applications

Description:
Compile all necessary site plans, safety documentation, and environmental impact statements required for municipal zoning and recreational facility permit submissions.

Resources needed:
• Project Manager
• Architect
• Compliance Officer",8/8/2026,8/27/2026,0,257433de-c93c-4ae4-ad14-0296cd86daf8,PlanExe
5c5b8287-c27b-44b0-897c-008c25b4f6ae,Engage neighborhood councils,"Engage neighborhood councils

Description:
Initiate proactive communication with local neighborhood councils to present the project, address noise and privacy concerns, and build community support prior to formal hearings.

Resources needed:
• Project Manager
• Community Liaison",8/27/2026,9/15/2026,0,ab34e5e2-38d2-45fc-9383-24d916dd7f09,PlanExe
9abe2657-6f71-4bf9-aa36-4b3c9e948567,Attend municipal zoning hearings,"Attend municipal zoning hearings

Description:
Represent the project at public municipal hearings to present the safety case and secure final approval for land-use and facility operation.

Resources needed:
• Project Manager
• Land-use Attorney
• Safety Officer",9/15/2026,10/4/2026,0,06791550-12f2-4336-9aba-7f44ef2539e3,PlanExe
578f16aa-ca69-4e97-a608-3ccb27d92be9,Infrastructure and Arena Development,,10/4/2026,12/29/2026,0,51767f96-0519-4515-8733-34f09159533f,PlanExe
a0ac5b23-770d-4067-91d1-7690d71369ec,Acquire and prepare site for modular urban-mimicry construction,,10/4/2026,11/3/2026,0,578f16aa-ca69-4e97-a608-3ccb27d92be9,PlanExe
80ea4095-6f37-4f91-9d53-0aa3e42b47e3,Conduct comprehensive site engineering audit,"Conduct comprehensive site engineering audit

Description:
Perform a detailed structural and electrical assessment of the chosen facility to ensure it can support high-density drone charging, network equipment, and modular obstacle weight loads.

Resources needed:
• Structural Engineer
• Electrical Contractor
• Site Manager",10/4/2026,10/14/2026,0,a0ac5b23-770d-4067-91d1-7690d71369ec,PlanExe
b04c47bb-f3c3-4d16-b97c-ca3d6b6a12ae,Finalize lease and utility upgrade agreements,"Finalize lease and utility upgrade agreements

Description:
Negotiate and sign the facility lease, including specific clauses for necessary utility upgrades and infrastructure modifications required for the arena.

Resources needed:
• Project Manager
• Legal Counsel
• Property Owner",10/14/2026,10/24/2026,0,80ea4095-6f37-4f91-9d53-0aa3e42b47e3,PlanExe
260f2b4b-125b-47d0-a7b4-739af091f1ea,Execute facility site preparation and cleanup,"Execute facility site preparation and cleanup

Description:
Clear the space, perform necessary repairs, and install the required power and data infrastructure to prepare for the modular construction phase.

Resources needed:
• Construction Crew
• Electrician
• Site Manager",10/24/2026,11/3/2026,0,a0ac5b23-770d-4067-91d1-7690d71369ec,PlanExe
2eec65fd-a65b-4a32-a479-0bd28438a0c9,Install perimeter safety netting and physical containment barriers,,11/3/2026,11/27/2026,0,a0ac5b23-770d-4067-91d1-7690d71369ec,PlanExe
0206f4ab-4d5a-48d4-90ee-aab9e5939ffa,Source high-impact safety netting,"Source high-impact safety netting

Description:
Identify and procure industrial-grade, high-impact netting materials that meet recreational combat safety standards and fire codes.

Resources needed:
• Procurement Officer
• Safety Consultant
• Industrial Supplier",11/3/2026,11/9/2026,0,2eec65fd-a65b-4a32-a479-0bd28438a0c9,PlanExe
7f058f1b-713d-4e86-bd82-df3b3e66f4cd,Review containment design with officials,"Review containment design with officials

Description:
Conduct a formal pre-installation review of the containment barrier blueprints with local building inspectors to ensure full code compliance.

Resources needed:
• Project Manager
• Structural Engineer
• Local Building Official",11/9/2026,11/15/2026,0,0206f4ab-4d5a-48d4-90ee-aab9e5939ffa,PlanExe
8235b25f-b1ab-4310-b75d-d242ccf5f956,Install netting and physical barriers,"Install netting and physical barriers

Description:
Execute the physical installation of perimeter safety netting and structural barriers within the arena to ensure a secure flight environment.

Resources needed:
• Construction Crew
• Safety Officer
• Site Manager",11/15/2026,11/21/2026,0,7f058f1b-713d-4e86-bd82-df3b3e66f4cd,PlanExe
dd7a17e9-4ef5-4203-b71f-1e1d52e57f07,Perform final safety containment audit,"Perform final safety containment audit

Description:
Conduct a rigorous stress test and inspection of all installed netting and barriers to verify they meet all safety and regulatory requirements.

Resources needed:
• Safety Officer
• Drone Technician
• Project Manager",11/21/2026,11/27/2026,0,2eec65fd-a65b-4a32-a479-0bd28438a0c9,PlanExe
740edb97-83cc-41cc-8baa-d79f5d3936af,Deploy private 5G/CBRS network infrastructure,,11/27/2026,12/29/2026,0,578f16aa-ca69-4e97-a608-3ccb27d92be9,PlanExe
d5d8471b-4f72-4b7e-900a-90fee7351813,Conduct site RF spectrum analysis,"Conduct site RF spectrum analysis

Description:
Perform a comprehensive sweep of the target facility to identify existing signal interference and map RF propagation patterns in the presence of urban-mimicry obstacles.

Resources needed:
• RF Systems Engineer
• Spectrum analyzer hardware
• Site access permissions",11/27/2026,12/5/2026,0,740edb97-83cc-41cc-8baa-d79f5d3936af,PlanExe
d822aec9-3cd9-4048-b286-8ee132b54864,Design private network topology,"Design private network topology

Description:
Develop the architecture for the private 5G/CBRS network, ensuring optimal placement of small cells and gateways to guarantee sub-20ms latency across the entire arena.

Resources needed:
• Network Architect
• Network simulation software
• Hardware specifications",12/5/2026,12/13/2026,0,d5d8471b-4f72-4b7e-900a-90fee7351813,PlanExe
46118f43-3451-4eb0-a9f9-c64c4cdcb31a,Procure and install network hardware,"Procure and install network hardware

Description:
Purchase and physically install the CBRS radio units, core network controllers, and signal distribution equipment within the arena perimeter.

Resources needed:
• Network & Telemetry Specialist
• CBRS hardware kits
• Installation tools",12/13/2026,12/21/2026,0,d822aec9-3cd9-4048-b286-8ee132b54864,PlanExe
38a1b649-c238-4287-b02b-5c5c05c5cac1,Validate network performance and latency,"Validate network performance and latency

Description:
Conduct stress tests under simulated load to verify that the network maintains consistent sub-20ms latency and zero packet loss during high-density drone operations.

Resources needed:
• RF Systems Engineer
• Drone test fleet
• Latency testing software",12/21/2026,12/29/2026,0,740edb97-83cc-41cc-8baa-d79f5d3936af,PlanExe
