project_key,project_name,project_description,project_start_date,project_end_date,project_progress,project_parent,originating_department
863bd09b-0dba-4172-88c6-f687d080b6dc,Drone Combat Arena,"Drone Combat Arena

Final deliverable:
Compliant Operational Venue",3/7/2026,4/17/2027,0,,PlanExe
6f004f4a-9caa-40af-916c-b6372850e8e1,Regulatory & Compliance Authorization,,3/7/2026,6/14/2026,0,863bd09b-0dba-4172-88c6-f687d080b6dc,PlanExe
03692554-ab01-48b5-8e11-6d25033c3956,Submit FAA Part 107 license applications for all locations,,3/7/2026,4/24/2026,0,6f004f4a-9caa-40af-916c-b6372850e8e1,PlanExe
d1b24981-5ae8-43af-88df-4ba48919540b,Analyze airspace restrictions near proposed venue locations,"Analyze airspace restrictions near proposed venue locations

Description:
Map Class B/C/D airspace boundaries against warehouse sites using SkyVector or AirMap software to identify no-fly zones before application submission.

Resources needed:
• Aviation Regulatory Specialist
• SkyVector Software
• AirMap Platform",3/7/2026,3/19/2026,0,03692554-ab01-48b5-8e11-6d25033c3956,PlanExe
cbe642a7-5287-4bf0-89a9-ee6d2cde1d66,Consult specialist for airworthiness gap analysis,"Consult specialist for airworthiness gap analysis

Description:
Hire an Aviation Regulatory Specialist with expertise in UAV liability and commercial drone law to review hardware airworthiness requirements against Part 107 standards.

Resources needed:
• Aviation Regulatory Specialist
• FAA UAS Data Bank",3/19/2026,3/31/2026,0,d1b24981-5ae8-43af-88df-4ba48919540b,PlanExe
4ac326b3-81ea-4490-ba1f-3dd9ce7bbc4c,Compile documents and pay application fees,"Compile documents and pay application fees

Description:
Gather necessary legal counsel input for accuracy and process the $5,000 per location licensing fees required by the FAA prior to filing applications.

Resources needed:
• Certified Legal Counsel
• FAA Application Fees
• CFO",3/31/2026,4/12/2026,0,cbe642a7-5287-4bf0-89a9-ee6d2cde1d66,PlanExe
6547d274-5a6f-457e-bbb7-ee7b00939f58,Submit FAA Part 107 license applications online,"Submit FAA Part 107 license applications online

Description:
File all three location license applications through the FAA DroneZone portal within the March 2026 deadline to ensure operational compliance and launch readiness.

Resources needed:
• Regulatory & Compliance Director
• FAA DroneZone Portal",4/12/2026,4/24/2026,0,03692554-ab01-48b5-8e11-6d25033c3956,PlanExe
06bc7a3b-578d-41e9-a902-ec27142371ad,Secure binding insurance quotes from specialized UAV carriers,,4/24/2026,5/30/2026,0,03692554-ab01-48b5-8e11-6d25033c3956,PlanExe
7b18dfb2-45fc-4d77-aae3-ba801b59f27d,Prepare internal risk assessment and financial data,"Prepare internal risk assessment and financial data

Description:
Compile CAPEX budgets, safety protocols, and operational risk profiles required for underwriting review.

Resources needed:
• CFO
• Regulatory & Compliance Director
• Financial Analyst",4/24/2026,5/3/2026,0,06bc7a3b-578d-41e9-a902-ec27142371ad,PlanExe
0139ba68-ee9b-4019-bed9-f6fc899296d6,Contact specialized UAV liability insurance carriers,"Contact specialized UAV liability insurance carriers

Description:
Identify and reach out to high-risk aviation underwriters specializing in commercial drone operations.

Resources needed:
• Insurance Broker Network
• Legal Counsel
• Procurement Team",5/3/2026,5/12/2026,0,7b18dfb2-45fc-4d77-aae3-ba801b59f27d,PlanExe
4b1a40dd-f7be-4781-b12d-d2fe82549190,Review underwriting requirements and submit formal applications,"Review underwriting requirements and submit formal applications

Description:
Ensure all regulatory proofs are included and complete submission processes for binding quotes.

Resources needed:
• Regulatory & Compliance Director
• Application Portal Access
• Specialized Aviation Attorney",5/12/2026,5/21/2026,0,0139ba68-ee9b-4019-bed9-f6fc899296d6,PlanExe
